country,state,district,year,dyid,sulfate,YEAR,STATE,SDP,SDP_NORM,DistrictName,ginivalue
India,andaman & nicobar islands,north and middle andaman,2000,North And Middle Andaman2000,,2000,andaman & nicobar islands,838,1247.872291,north and middle andaman,0.3
India,andaman & nicobar islands,north and middle andaman,2001,North And Middle Andaman2001,,2001,andaman & nicobar islands,857,1276.165338,north and middle andaman,0.3
India,andaman & nicobar islands,north and middle andaman,2002,North And Middle Andaman2002,,2002,andaman & nicobar islands,948,1411.674143,north and middle andaman,0.3
India,andaman & nicobar islands,north and middle andaman,2003,North And Middle Andaman2003,,2003,andaman & nicobar islands,1048,1560.584918,north and middle andaman,0.3
India,andaman & nicobar islands,north and middle andaman,2004,North And Middle Andaman2004,32.705883,2004,andaman & nicobar islands,1088,1620.149228,north and middle andaman,0.3
India,andaman & nicobar islands,north and middle andaman,2005,North And Middle Andaman2005,25.5,2005,andaman & nicobar islands,1720,1706.464588,north and middle andaman,0.3
India,andaman & nicobar islands,north and middle andaman,2006,North And Middle Andaman2006,,2006,andaman & nicobar islands,2029,2013.032935,north and middle andaman,0.3
India,andaman & nicobar islands,north and middle andaman,2007,North And Middle Andaman2007,42.1875,2007,andaman & nicobar islands,2238,2220.388225,north and middle andaman,0.3
India,andaman & nicobar islands,north and middle andaman,2008,North And Middle Andaman2008,,2008,andaman & nicobar islands,2579,2558.704751,north and middle andaman,0.3
India,andaman & nicobar islands,north and middle andaman,2009,North And Middle Andaman2009,,2009,andaman & nicobar islands,2911,2888.092101,north and middle andaman,0.3
India,andaman & nicobar islands,north and middle andaman,2010,North And Middle Andaman2010,,2010,andaman & nicobar islands,3164,3139.101137,north and middle andaman,0.3
India,andaman & nicobar islands,north and middle andaman,2011,North And Middle Andaman2011,,2011,andaman & nicobar islands,3431,3404,north and middle andaman,0.3
India,andaman & nicobar islands,north and middle andaman,2012,North And Middle Andaman2012,,2012,andaman & nicobar islands,3558,3558,north and middle andaman,0.3
India,andaman & nicobar islands,north and middle andaman,2013,North And Middle Andaman2013,,2013,andaman & nicobar islands,3811,3811,north and middle andaman,0.3
India,andaman & nicobar islands,north and middle andaman,2014,North And Middle Andaman2014,,2014,andaman & nicobar islands,4151,4151,north and middle andaman,0.3
India,andaman & nicobar islands,north and middle andaman,2015,North And Middle Andaman2015,,2015,andaman & nicobar islands,4483,4483,north and middle andaman,0.3
India,andaman & nicobar islands,north and middle andaman,2016,North And Middle Andaman2016,27.379311,2016,andaman & nicobar islands,5091,5091,north and middle andaman,0.3
India,andaman & nicobar islands,north and middle andaman,2017,North And Middle Andaman2017,,2017,andaman & nicobar islands,5750,5750,north and middle andaman,0.3
India,andaman & nicobar islands,north and middle andaman,2018,North And Middle Andaman2018,27.95647,2018,andaman & nicobar islands,6108,6108,north and middle andaman,0.3
India,andaman & nicobar islands,south andaman,2000,South Andaman2000,,2000,andaman & nicobar islands,838,1247.872291,south andaman,0.33
India,andaman & nicobar islands,south andaman,2001,South Andaman2001,,2001,andaman & nicobar islands,857,1276.165338,south andaman,0.33
India,andaman & nicobar islands,south andaman,2002,South Andaman2002,,2002,andaman & nicobar islands,948,1411.674143,south andaman,0.33
India,andaman & nicobar islands,south andaman,2003,South Andaman2003,,2003,andaman & nicobar islands,1048,1560.584918,south andaman,0.33
India,andaman & nicobar islands,south andaman,2004,South Andaman2004,38.52,2004,andaman & nicobar islands,1088,1620.149228,south andaman,0.33
India,andaman & nicobar islands,south andaman,2005,South Andaman2005,33,2005,andaman & nicobar islands,1720,1706.464588,south andaman,0.33
India,andaman & nicobar islands,south andaman,2006,South Andaman2006,,2006,andaman & nicobar islands,2029,2013.032935,south andaman,0.33
India,andaman & nicobar islands,south andaman,2007,South Andaman2007,67.269234,2007,andaman & nicobar islands,2238,2220.388225,south andaman,0.33
India,andaman & nicobar islands,south andaman,2008,South Andaman2008,,2008,andaman & nicobar islands,2579,2558.704751,south andaman,0.33
India,andaman & nicobar islands,south andaman,2009,South Andaman2009,14.454545,2009,andaman & nicobar islands,2911,2888.092101,south andaman,0.33
India,andaman & nicobar islands,south andaman,2010,South Andaman2010,30.799999,2010,andaman & nicobar islands,3164,3139.101137,south andaman,0.33
India,andaman & nicobar islands,south andaman,2011,South Andaman2011,22.878788,2011,andaman & nicobar islands,3431,3404,south andaman,0.33
India,andaman & nicobar islands,south andaman,2012,South Andaman2012,39.5625,2012,andaman & nicobar islands,3558,3558,south andaman,0.33
India,andaman & nicobar islands,south andaman,2013,South Andaman2013,52.032204,2013,andaman & nicobar islands,3811,3811,south andaman,0.33
India,andaman & nicobar islands,south andaman,2014,South Andaman2014,,2014,andaman & nicobar islands,4151,4151,south andaman,0.33
India,andaman & nicobar islands,south andaman,2015,South Andaman2015,,2015,andaman & nicobar islands,4483,4483,south andaman,0.33
India,andaman & nicobar islands,south andaman,2016,South Andaman2016,22.517857,2016,andaman & nicobar islands,5091,5091,south andaman,0.33
India,andaman & nicobar islands,south andaman,2017,South Andaman2017,,2017,andaman & nicobar islands,5750,5750,south andaman,0.33
India,andaman & nicobar islands,south andaman,2018,South Andaman2018,27.216545,2018,andaman & nicobar islands,6108,6108,south andaman,0.33
India,andhra pradesh,anantapur,2000,Anantapur2000,142.11765,2000,andhra pradesh,126035,171093.798,anantapur,0.27
India,andhra pradesh,anantapur,2001,Anantapur2001,86.779999,2001,andhra pradesh,131750,178851.9688,anantapur,0.27
India,andhra pradesh,anantapur,2002,Anantapur2002,,2002,andhra pradesh,134749,182923.1419,anantapur,0.27
India,andhra pradesh,anantapur,2003,Anantapur2003,,2003,andhra pradesh,147950,200843.634,anantapur,0.27
India,andhra pradesh,anantapur,2004,Anantapur2004,110.33334,2004,andhra pradesh,158714,215455.8738,anantapur,0.27
India,andhra pradesh,anantapur,2005,Anantapur2005,213.90909,2005,andhra pradesh,128150,227457.9878,anantapur,0.27
India,andhra pradesh,anantapur,2006,Anantapur2006,107,2006,andhra pradesh,141610,251348.62,anantapur,0.27
India,andhra pradesh,anantapur,2007,Anantapur2007,79.481483,2007,andhra pradesh,159270,282693.9814,anantapur,0.27
India,andhra pradesh,anantapur,2008,Anantapur2008,138.5,2008,andhra pradesh,163341,289919.744,anantapur,0.27
India,andhra pradesh,anantapur,2009,Anantapur2009,103.34782,2009,andhra pradesh,174401,309550.5309,anantapur,0.27
India,andhra pradesh,anantapur,2010,Anantapur2010,101.23077,2010,andhra pradesh,186041,330210.7804,anantapur,0.27
India,andhra pradesh,anantapur,2011,Anantapur2011,164.95833,2011,andhra pradesh,191554,339996,anantapur,0.27
