country,state,district,year,dyid,sulfate,arsenic,carbonate,calcium,chloride,electricalconductivity,fluorine,iron,hydrogencarbonate,potassium,magnesium,nitrate,sodium,percentageofsodium,phosphateion,residualsodiumcarbonate,sodiumabsorptionratio,silicondioxide,hardnesstotal,alkalinitytotal,totaldissolvedsolids,potentialofhydrogen,SDP,SDP_NORM,ginivalue,SDP_sq,SDP_cube,north,northeast,east,central,west,south
INDIA,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2000,SOUTH ANDAMAN2000,,,,,,,,,,,,,,,,,,,,,,,838.0,1247.872291,0.33,1557185.2546455883,1943168331.226009,,,1.0,,,
INDIA,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2001,SOUTH ANDAMAN2001,,,,,,,,,,,,,,,,,,,,,,,857.0,1276.165338,0.33,1628597.9699126545,2078360278.7396965,,,1.0,,,
INDIA,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2002,SOUTH ANDAMAN2002,,,,,,,,,,,,,,,,,,,,,,,948.0,1411.674143,0.33,1992823.886014784,2813217951.4398503,,,1.0,,,
INDIA,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2003,SOUTH ANDAMAN2003,,,,,,,,,,,,,,,,,,,,,,,1048.0,1560.584918,0.33,2435425.2862890665,3800687970.6985497,,,1.0,,,
INDIA,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2004,SOUTH ANDAMAN2004,38.52,,,46.23077,70.269234,594.69232,0.25818181,0.66900003,214.80769,1.7423077,23.407692,5.9200001,44.861538,,,,1.323077,,211.92308,,,7.9349999,1088.0,1620.149228,0.33,2624883.520988996,4252703010.120244,,,1.0,,,
INDIA,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2005,SOUTH ANDAMAN2005,33.0,,10.666667,59.92857,195.03572,1021.7143,0.11136364,0.37535715,194.67857,3.7714286,29.078571,10.135769,91.5,,,1.28,1.9321429,,268.03571,,,8.3946428,1720.0,1706.464588,0.33,2912021.3900980097,4969261381.700788,,,1.0,,,
INDIA,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2006,SOUTH ANDAMAN2006,,,,,,,,,,,,,,,,,,,,,,,2029.0,2013.032935,0.33,4052301.597394714,8157416578.108669,,,1.0,,,
INDIA,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2007,SOUTH ANDAMAN2007,67.269234,,,68.846153,313.61539,1420.9231,0.28115386,0.82571429,250.80769,5.4615383,36.923077,4.3388891,191.23077,,,,2.708077,,331.92307,,,7.7830768,2238.0,2220.388225,0.33,4930123.869718651,10946788988.114729,,,1.0,,,
INDIA,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2008,SOUTH ANDAMAN2008,,,,,,,,,,,,,,,,,,,,,,,2579.0,2558.704751,0.33,6546970.002789973,16751763250.793188,,,1.0,,,
INDIA,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2009,SOUTH ANDAMAN2009,14.454545,,,25.764706,40.735294,373.97058,0.20380953,0.29053333,149.51176,2.1264706,15.466471,3.4516129,30.155882,,,,1.2308823,,127.94118,,,7.912353,2911.0,2888.092101,0.33,8341075.983858596,24089795662.82281,,,1.0,,,
INDIA,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2010,SOUTH ANDAMAN2010,30.799999,,16.5,49.785713,83.5,746.92859,0.62166667,0.85766667,260.42856,4.0142856,20.162144,3.2592592,85.14286,,,4.3000002,2.6407144,,207.14285,,,8.1389284,3164.0,3139.101137,0.33,9853955.948314693,30932564321.30257,,,1.0,,,
INDIA,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2011,SOUTH ANDAMAN2011,22.878788,,,55.39394,47.121212,533.12122,0.18615384,0.064941175,274.39395,2.8062501,15.106061,2.5,50.21212,,,,1.5727272,,198.93939,,,7.7787881,3431.0,3404.0,0.33,11587216.0,39442883264.0,,,1.0,,,
