year,state,SDP,SDP_NORM
1999,ANDHRA PRADESH,116360,157959.8868
1999,ARUNACHAL PRADESH,1497,4408.982245
1999,ASSAM,32011,74436.1581
1999,BIHAR,46071,94978.21692
1999,GOA,5570,14516.04382
1999,GUJARAT,92541,200739.8724
1999,HARYANA,47329,100163.1444
1999,HIMACHAL PRADESH,12467,27580.12692
1999,JAMMU & KASHMIR,13533,36669.54091
1999,JHARKHAND,30229,74522.64561
1999,KARNATAKA,90532,274427.7501
1999,KERALA,61359,144327.6741
1999,MADHYA PRADESH,72655,155241.065
1999,CHHATTISGARH,23840,64590.31924
1999,MAHARASHTRA,217198,476829.5413
1999,MANIPUR,2954,6889.541073
1999,MEGHALAYA,3211,7692.280122
1999,MIZORAM,1410,2675.186324
1999,NAGALAND,2610,3920.041707
1999,ORISSA,38399,100841.4897
1999,PUNJAB,61139,126658.3497
1999,RAJASTHAN,74174,180113.5998
1999,SIKKIM,765,2246.839106
1999,TAMIL NADU,119704,273325.495
1999,TRIPURA,4496,6683.031879
1999,UTTAR PRADESH,156809,344049.6567
1999,UTTARAKHAND,11187,27385.49373
1999,WEST BENGAL,125299,239574.7015
1999,ANDAMAN & NICOBAR ISLANDS,838,1247.872291
1999,CHANDIGARH,3792,6386.144291
1999,DELHI,51175,121464.3801
1999,PUDUCHERRY,2893,6198.902245
1999,TELANGANA,,
2000,ANDHRA PRADESH,126035,171093.798
2000,ARUNACHAL PRADESH,1607,4732.955556
2000,ASSAM,32821,76319.6759
2000,BIHAR,53656,110615.1637
2000,GOA,5287,13778.51413
2000,GUJARAT,86431,187486.0647
2000,HARYANA,51090,108122.6108
2000,HIMACHAL PRADESH,13262,29338.86607
2000,JAMMU & KASHMIR,13917,37710.04218
2000,JHARKHAND,26663,65731.49293
2000,KARNATAKA,91136,276258.6426
2000,KERALA,62909,147973.5597
2000,MADHYA PRADESH,66750,142623.9225
2000,CHHATTISGARH,22372,60613.02945
2000,MAHARASHTRA,210526,462182.0459
2000,MANIPUR,2765,6448.741052
2000,MEGHALAYA,3422,8197.752282
2000,MIZORAM,1463,2775.742973
2000,NAGALAND,3052,4583.895513
2000,ORISSA,37386,98181.20095
2000,PUNJAB,63172,130870.0055
2000,RAJASTHAN,71764,174261.4983
2000,SIKKIM,814,2390.754291
2000,TAMIL NADU,126349,288498.3206
2000,TRIPURA,4778,7102.207811
2000,UTTAR PRADESH,160015,351083.8397
2000,UTTARAKHAND,12582,30800.41853
2000,WEST BENGAL,129691,247972.3111
2000,ANDAMAN & NICOBAR ISLANDS,838,1247.872291
2000,CHANDIGARH,4274,7197.885206
2000,DELHI,53177,126216.1474
2000,PUDUCHERRY,3305,7081.704777
2000,TELANGANA,,
2001,ANDHRA PRADESH,131750,178851.9688
2001,ARUNACHAL PRADESH,1864,5489.87502
2001,ASSAM,33668,78289.23092
2001,BIHAR,50579,104271.7378
2001,GOA,5492,14312.76709
2001,GUJARAT,93455,202722.5206
2001,HARYANA,55036,116473.5958
2001,HIMACHAL PRADESH,13938,30834.3474
2001,JAMMU & KASHMIR,14185,38436.22536
